127.0.0.1 - - [14/Aug/2016:09:35:45 +0800] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [14/Aug/2016:09:56:40 +0800] "GET /webDemo/ HTTP/1.1" 200 450
127.0.0.1 - - [14/Aug/2016:09:56:40 +0800] "GET /webDemo/js/require.js HTTP/1.1" 200 82687
127.0.0.1 - - [14/Aug/2016:09:56:40 +0800] "GET /webDemo/js/webix.css HTTP/1.1" 200 169120
127.0.0.1 - - [14/Aug/2016:09:56:40 +0800] "GET /webDemo/js/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 60767
127.0.0.1 - - [14/Aug/2016:09:56:40 +0800] "GET /webDemo/view/main.js HTTP/1.1" 200 329
127.0.0.1 - - [14/Aug/2016:09:56:40 +0800] "GET /webDemo/index.js HTTP/1.1" 200 86
127.0.0.1 - - [14/Aug/2016:09:56:40 +0800] "GET /webDemo/js/webix.js HTTP/1.1" 200 484535
127.0.0.1 - - [14/Aug/2016:09:56:46 +0800] "GET /webDemo/form HTTP/1.1" 200 450
127.0.0.1 - - [14/Aug/2016:09:56:56 +0800] "GET /webDemo/view/form/form HTTP/1.1" 200 450
127.0.0.1 - - [14/Aug/2016:09:56:57 +0800] "GET /webDemo/view/form/form HTTP/1.1" 200 450
127.0.0.1 - - [14/Aug/2016:09:56:57 +0800] "GET /webDemo/js/webix.css HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:57 +0800] "GET /webDemo/js/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:57 +0800] "GET /webDemo/js/require.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:58 +0800] "GET /webDemo/view/form/form HTTP/1.1" 200 450
127.0.0.1 - - [14/Aug/2016:09:56:58 +0800] "GET /webDemo/js/webix.css HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:58 +0800] "GET /webDemo/js/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:58 +0800] "GET /webDemo/js/require.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:59 +0800] "GET /webDemo/view/form/form HTTP/1.1" 200 450
127.0.0.1 - - [14/Aug/2016:09:56:59 +0800] "GET /webDemo/js/webix.css HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:59 +0800] "GET /webDemo/js/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:59 +0800] "GET /webDemo/js/require.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:59 +0800] "GET /webDemo/view/form/form HTTP/1.1" 200 450
127.0.0.1 - - [14/Aug/2016:09:56:59 +0800] "GET /webDemo/js/webix.css HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:59 +0800] "GET /webDemo/js/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:59 +0800] "GET /webDemo/js/require.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2016:09:56:59 +0800] "GET /webDemo/view/form/form HTTP/1.1" 200 450
